year;km;president
1988;21050;Sarney
1989;17770;Sarney
1990;13730;Collor
1991;11030;Collor
1992;13786;Itamar
1993;14896;Itamar
1994;14896;Itamar
1995;29059;Itamar
1996;18161;FHC
1997;13227;FHC
1998;17383;FHC
1999;17259;FHC
2000;18226;FHC
2001;18165;FHC
2002;21650;FHC
2003;25396;FHC
2004;27772;Lula
2005;19014;Lula
2006;14286;Lula
2007;11651;Lula
2008;12911;Lula
2009;7464;Lula
2010;7000;Lula
2011;6418;Lula
2012;4571;Dilma
2013;5891;Dilma
2014;5012;Dilma
2015;6207;Dilma
2016;7893;Dilma
2017;6947;Temer
2018;7536;Temer
2019;10129;Bolsonaro
2020;10851;Bolsonaro
2021;13235;Bolsonaro
